номер_операции,код_месторождения,наименование_месторождения,номер_скважины,дата_начала,дата_окончания,глубина_план_м,глубина_факт_м,длительность_дней,код_статьи,план_тыс_тнг,факт_тыс_тнг,отклонение_тыс_тнг,год,месяц,квартал,отклонение_пцт,наименование_статьи
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-03,998.96,1160.97,162.01,2018,1,Q1,16.2,Материалы и запчасти
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-06,1774.0,2068.08,294.08,2018,1,Q1,16.6,Подрядные работы
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-06,3056.4,3563.8,507.4,2018,1,Q1,16.6,Подрядные работы
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-04,2509.89,2935.15,425.26,2018,1,Q1,16.9,Транспорт и логистика
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-01,2427.56,2836.86,409.3,2018,1,Q1,16.9,ГСМ и топливо
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-06,1958.76,2273.67,314.91,2018,1,Q1,16.1,Подрядные работы
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-04,5802.66,6738.09,935.43,2018,1,Q1,16.1,Транспорт и логистика
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-05,1253.23,1454.38,201.15,2018,1,Q1,16.1,Амортизация оборудования
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-01,2087.3,2442.52,355.22,2018,1,Q1,17.0,ГСМ и топливо
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-04,1643.12,1912.65,269.53,2018,1,Q1,16.4,Транспорт и логистика
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-01,2994.23,3446.49,452.26,2018,1,Q1,15.1,ГСМ и топливо
ОП-2018-000036,МСТ-005,Харасан,СКВ-00036,2018-01-08,2018-01-19,401.4,423.0,11,ЗТР-02,1979.73,2304.14,324.41,2018,1,Q1,16.4,Заработная плата
ОП-2018-000068,МСТ-011,Северный Харасан,СКВ-00068,2018-01-09,2018-01-14,302.3,278.4,5,ЗТР-08,274.52,320.51,45.99,2018,1,Q1,16.8,Охрана труда и ТБ
ОП-2018-000002,МСТ-001,Инкай,СКВ-00002,2018-01-10,2018-01-25,669.7,669.5,15,ЗТР-01,3576.22,4167.19,590.97,2018,1,Q1,16.5,ГСМ и топливо
ОП-2018-000018,МСТ-003,Акдала,СКВ-00018,2018-01-11,2018-01-22,502.3,529.4,11,ЗТР-09,131.88,152.97,21.09,2018,1,Q1,16.0,Прочие расходы
ОП-2018-000018,МСТ-003,Акдала,СКВ-00018,2018-01-11,2018-01-22,502.3,529.4,11,ЗТР-07,719.35,845.38,126.03,2018,1,Q1,17.5,Электроэнергия
ОП-2018-000018,МСТ-003,Акдала,СКВ-00018,2018-01-11,2018-01-22,502.3,529.4,11,ЗТР-03,988.63,1154.51,165.88,2018,1,Q1,16.8,Материалы и запчасти
ОП-2018-000019,МСТ-003,Акдала,СКВ-00019,2018-01-12,2018-01-24,479.4,450.0,12,ЗТР-04,460.88,533.82,72.94,2018,1,Q1,15.8,Транспорт и логистика
ОП-2018-000019,МСТ-003,Акдала,СКВ-00019,2018-01-12,2018-01-24,479.4,450.0,12,ЗТР-01,3125.64,3599.77,474.13,2018,1,Q1,15.2,ГСМ и топливо
ОП-2018-000053,МСТ-008,Уванас,СКВ-00053,2018-01-12,2018-01-30,690.0,721.0,18,ЗТР-02,5733.1,6660.17,927.07,2018,1,Q1,16.2,Заработная плата
ОП-2018-000066,МСТ-011,Северный Харасан,СКВ-00066,2018-01-12,2018-01-18,332.5,322.3,6,ЗТР-02,2876.09,3319.72,443.63,2018,1,Q1,15.4,Заработная плата
ОП-2018-000066,МСТ-011,Северный Харасан,СКВ-00066,2018-01-12,2018-01-18,332.5,322.3,6,ЗТР-07,265.06,308.69,43.63,2018,1,Q1,16.5,Электроэнергия
