номер_скважины,наименование_месторождения,глубина_факт_м,год,total_plan,total_fact,cost_per_meter,variance_pct,is_anomaly
СКВ-00001,Инкай,735.2,2018,20876.74,21873.56,29.75,4.8,False
СКВ-00002,Инкай,669.5,2018,16191.439999999999,17652.17,26.37,9.0,False
СКВ-00003,Инкай,882.7,2018,29813.690000000002,30689.18,34.77,2.9,False
СКВ-00004,Инкай,667.9,2018,19579.77,20244.32,30.31,3.4,False
СКВ-00005,Инкай,779.6,2018,21871.24,23439.46,30.07,7.2,False
СКВ-00006,Инкай,628.1,2018,17828.32,17964.75,28.6,0.8,False
СКВ-00007,Инкай,624.0,2018,17431.69,18566.62,29.75,6.5,False
СКВ-00008,Инкай,764.3,2018,17279.95,17839.09,23.34,3.2,False
СКВ-00009,Инкай,851.3,2018,22340.45,23293.559999999998,27.36,4.3,False
СКВ-00010,Инкай,582.8,2018,12144.869999999999,12992.689999999999,22.29,7.0,False
СКВ-00011,Буденовское,242.7,2018,8627.57,9120.49,37.58,5.7,False
СКВ-00012,Буденовское,388.7,2018,11622.369999999999,12565.78,32.33,8.1,False
СКВ-00013,Буденовское,424.0,2018,10333.25,11172.85,26.35,8.1,False
СКВ-00014,Буденовское,437.2,2018,12085.41,12442.79,28.46,3.0,False
СКВ-00015,Буденовское,480.2,2018,15834.54,16165.37,33.66,2.1,False
СКВ-00016,Буденовское,454.3,2018,14960.08,15533.04,34.19,3.8,False
СКВ-00017,Буденовское,514.1,2018,11833.07,12364.189999999999,24.05,4.5,False
СКВ-00018,Акдала,529.4,2018,16186.75,17083.71,32.27,5.5,False
СКВ-00019,Акдала,450.0,2018,11653.4,12842.24,28.54,10.2,False
СКВ-00020,Акдала,647.4,2018,15974.26,16524.06,25.52,3.4,False
СКВ-00021,Акдала,561.9,2018,14296.63,15404.99,27.42,7.8,False
СКВ-00022,Акдала,580.2,2018,15071.59,15227.87,26.25,1.0,False
СКВ-00023,Акдала,810.5,2018,20390.88,21138.34,26.08,3.7,False
СКВ-00024,Акдала,546.1,2018,9943.2,10503.3,19.23,5.6,False
СКВ-00025,Акдала,742.3,2018,18498.07,19274.34,25.97,4.2,False
СКВ-00026,Южный Инкай,839.4,2018,24167.75,26420.57,31.48,9.3,False
СКВ-00027,Южный Инкай,742.0,2018,21131.39,22324.75,30.09,5.6,False
СКВ-00028,Южный Инкай,600.5,2018,16133.43,17057.75,28.41,5.7,False
СКВ-00029,Южный Инкай,664.7,2018,19165.85,19763.54,29.73,3.1,False
СКВ-00030,Южный Инкай,722.0,2018,20959.56,22204.89,30.75,5.9,False
СКВ-00031,Южный Инкай,525.2,2018,13913.79,14419.199999999999,27.45,3.6,False
СКВ-00032,Харасан,676.1,2018,19967.440000000002,21306.43,31.51,6.7,False
СКВ-00033,Харасан,852.9,2018,20524.89,21590.06,25.31,5.2,False
СКВ-00034,Харасан,808.7,2018,30809.92,33367.94,41.26,8.3,False
СКВ-00035,Харасан,550.6,2018,14926.51,15181.76,27.57,1.7,False
СКВ-00036,Харасан,423.0,2018,13189.8,13794.47,32.61,4.6,False
СКВ-00037,Харасан,668.5,2018,18135.36,19673.05,29.43,8.5,False
СКВ-00038,Харасан,605.1,2018,15328.24,16104.41,26.61,5.1,False
СКВ-00039,Харасан,423.2,2018,14668.78,15216.22,35.96,3.7,False
СКВ-00040,Мынкудук,640.9,2018,20417.879999999997,21194.83,33.07,3.8,False
СКВ-00041,Мынкудук,795.6,2018,23293.84,24069.89,30.25,3.3,False
СКВ-00042,Мынкудук,804.3,2018,37065.43,38553.11,47.93,4.0,False
СКВ-00043,Мынкудук,417.1,2018,11810.16,12616.99,30.25,6.8,False
СКВ-00044,Мынкудук,701.5,2018,17275.870000000003,18613.190000000002,26.53,7.7,False
СКВ-00045,Мынкудук,619.2,2018,15426.09,16690.81,26.96,8.2,False
СКВ-00046,Мынкудук,771.0,2018,18662.06,19556.21,25.36,4.8,False
СКВ-00047,Мынкудук,549.4,2018,25163.04,25773.17,46.91,2.4,False
СКВ-00048,Мынкудук,728.2,2018,20270.12,20709.96,28.44,2.2,False
СКВ-00049,Канжуган,278.5,2018,7818.59,8457.6,30.37,8.2,False
СКВ-00050,Канжуган,525.0,2018,13365.48,14209.259999999998,27.07,6.3,False
СКВ-00051,Канжуган,462.6,2018,14774.22,16186.52,34.99,9.6,False
СКВ-00052,Канжуган,553.4,2018,27520.71,28009.34,50.61,1.8,False
СКВ-00053,Уванас,721.0,2018,18706.48,19958.85,27.68,6.7,False
СКВ-00054,Уванас,641.4,2018,16962.65,17559.72,27.38,3.5,False
СКВ-00055,Уванас,507.8,2018,11638.65,11930.24,23.49,2.5,False
СКВ-00056,Уванас,581.8,2018,16179.99,16529.1,28.41,2.2,False
СКВ-00057,Ирколь,548.0,2018,12867.35,13975.46,25.5,8.6,False
СКВ-00058,Ирколь,671.7,2018,26760.35,26550.0,39.53,-0.8,False
СКВ-00059,Ирколь,507.2,2018,12960.880000000001,13352.42,26.33,3.0,False
СКВ-00060,Ирколь,637.7,2018,17123.7,18597.16,29.16,8.6,False
СКВ-00061,Ирколь,739.3,2018,16655.53,17500.45,23.67,5.1,False
СКВ-00062,Ирколь,631.7,2018,18372.15,18672.62,29.56,1.6,False
СКВ-00063,Ирколь,826.5,2018,24396.57,25528.309999999998,30.89,4.6,False
