номер_операции,код_месторождения,наименование_месторождения,номер_скважины,дата_начала,дата_окончания,глубина_план_м,глубина_факт_м,длительность_дней,код_статьи,план_тыс_тнг,факт_тыс_тнг,отклонение_тыс_тнг,год,месяц,квартал
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-04,1629.23,1637.88,8.65,2018,1,Q1
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-03,998.96,1160.97,162.01,2018,1,Q1
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-04,1247.86,1263.61,15.75,2018,1,Q1
ОП-2018-000027,МСТ-004,Южный Инкай,СКВ-00027,2018-01-01,2018-01-15,679.6,742.0,14,ЗТР-02,4514.35,4575.68,61.33,2018,1,Q1
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-06,744.27,837.84,93.57,2018,1,Q1
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-07,1476.65,1511.51,34.86,2018,1,Q1
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-08,215.17,225.18,10.01,2018,1,Q1
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-09,218.54,218.26,-0.28,2018,1,Q1
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-01,1588.8,1820.92,232.12,2018,1,Q1
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-02,6717.3,6550.66,-166.64,2018,1,Q1
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-03,1735.65,1699.45,-36.2,2018,1,Q1
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-05,1250.01,1199.23,-50.78,2018,1,Q1
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-06,1774.0,2068.08,294.08,2018,1,Q1
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-07,466.25,464.44,-1.81,2018,1,Q1
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-08,487.03,531.14,44.11,2018,1,Q1
ОП-2018-000056,МСТ-008,Уванас,СКВ-00056,2018-01-01,2018-01-17,625.5,581.8,16,ЗТР-09,531.72,557.3,25.58,2018,1,Q1
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-01,4468.67,4772.45,303.78,2018,1,Q1
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-02,3659.26,3820.46,161.2,2018,1,Q1
ОП-2018-000027,МСТ-004,Южный Инкай,СКВ-00027,2018-01-01,2018-01-15,679.6,742.0,14,ЗТР-03,4770.23,4590.76,-179.47,2018,1,Q1
ОП-2018-000027,МСТ-004,Южный Инкай,СКВ-00027,2018-01-01,2018-01-15,679.6,742.0,14,ЗТР-04,943.94,1028.41,84.47,2018,1,Q1
ОП-2018-000027,МСТ-004,Южный Инкай,СКВ-00027,2018-01-01,2018-01-15,679.6,742.0,14,ЗТР-05,2231.54,2493.76,262.22,2018,1,Q1
ОП-2018-000027,МСТ-004,Южный Инкай,СКВ-00027,2018-01-01,2018-01-15,679.6,742.0,14,ЗТР-06,1972.03,2185.21,213.18,2018,1,Q1
ОП-2018-000027,МСТ-004,Южный Инкай,СКВ-00027,2018-01-01,2018-01-15,679.6,742.0,14,ЗТР-07,1307.33,1311.54,4.21,2018,1,Q1
ОП-2018-000027,МСТ-004,Южный Инкай,СКВ-00027,2018-01-01,2018-01-15,679.6,742.0,14,ЗТР-08,704.97,792.09,87.12,2018,1,Q1
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-02,1720.26,1727.15,6.89,2018,1,Q1
ОП-2018-000027,МСТ-004,Южный Инкай,СКВ-00027,2018-01-01,2018-01-15,679.6,742.0,14,ЗТР-09,278.8,295.11,16.31,2018,1,Q1
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-08,594.48,667.35,72.87,2018,1,Q1
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-07,888.58,953.01,64.43,2018,1,Q1
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-06,3056.4,3563.8,507.4,2018,1,Q1
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-05,1690.52,1766.76,76.24,2018,1,Q1
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-04,1058.28,1169.61,111.33,2018,1,Q1
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-03,1211.35,1313.25,101.9,2018,1,Q1
ОП-2018-000060,МСТ-009,Ирколь,СКВ-00060,2018-01-01,2018-01-16,663.4,637.7,15,ЗТР-09,496.16,570.47,74.31,2018,1,Q1
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-01,3832.7,3658.59,-174.11,2018,1,Q1
ОП-2018-000055,МСТ-008,Уванас,СКВ-00055,2018-01-01,2018-01-12,495.8,507.8,11,ЗТР-05,1184.24,1327.13,142.89,2018,1,Q1
ОП-2018-000027,МСТ-004,Южный Инкай,СКВ-00027,2018-01-01,2018-01-15,679.6,742.0,14,ЗТР-01,4408.2,5052.19,643.99,2018,1,Q1
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-04,2509.89,2935.15,425.26,2018,1,Q1
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-05,1962.06,2037.71,75.65,2018,1,Q1
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-06,1256.6,1243.58,-13.02,2018,1,Q1
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-07,891.5,905.41,13.91,2018,1,Q1
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-08,840.25,885.49,45.24,2018,1,Q1
